QW917_000002	extracellular region;lytic vacuole;cellular anatomical entity;membrane;cytoplasm;lysosome;intracellular membrane-bounded organelle;vacuole;intracellular organelle;membrane-bounded organelle;intracellular anatomical structure;organelle;extracellular space;peptidase activity;hydrolase activity;cysteine-type endopeptidase activity;cysteine-type peptidase activity;catalytic activity;endopeptidase activity;catalytic activity, acting on a protein;cellular process;catabolic process;organonitrogen compound catabolic process;proteolysis;protein catabolic process;metabolic process;protein metabolic process;protein metabolic process;proteolysis involved in protein catabolic process;nitrogen compound metabolic process;organonitrogen compound metabolic process;macromolecule catabolic process;cellular metabolic process;obsolete cellular macromolecule metabolic process;obsolete cellular macromolecule catabolic process;organic substance catabolic process;cellular catabolic process;primary metabolic process;organic substance metabolic process;protein catabolic process;macromolecule metabolic process"
QW917_000016	mitochondrial envelope;organelle inner membrane;membrane;intracellular membrane-bounded organelle;obsolete intrinsic component of mitochondrial inner membrane;intracellular anatomical structure;obsolete integral component of mitochondrial membrane;mitochondrial inner membrane;envelope;obsolete integral component of mitochondrial inner membrane;mitochondrion;organelle membrane;intracellular organelle;membrane-bounded organelle;membrane;organelle;cytoplasm;obsolete intrinsic component of mitochondrial membrane;obsolete intrinsic component of organelle membrane;mitochondrial membrane;obsolete intrinsic component of membrane;organelle envelope;obsolete integral component of organelle membrane;cellular anatomical entity;transmembrane transporter activity;transporter activity;cellular process;transport;localization;establishment of localization;transmembrane transport;mitochondrial transmembrane transport
QW917_000018	"chromosome;nucleus;non-membrane-bounded organelle;membrane;chromatin;intracellular non-membrane-bounded organelle;intracellular membrane-bounded organelle;intracellular organelle;membrane-bounded organelle;intracellular anatomical structure;organelle;cellular anatomical entity;S-adenosylmethionine-dependent methyltransferase activity;N-methyltransferase activity;transferase activity;transferase activity, transferring one-carbon groups;protein-lysine N-methyltransferase activity;protein methyltransferase activity;catalytic activity;methyltransferase activity;obsolete histone lysine N-methyltransferase activity;lysine N-methyltransferase activity;catalytic activity, acting on a protein;obsolete cellular macromolecule biosynthetic process;regulation of RNA biosynthetic process;cellular process;obsolete regulation of nucleic acid-templated transcription;aromatic compound biosynthetic process;RNA metabolic process;organic substance biosynthetic process;regulation of metabolic process;metabolic process;obsolete nucleic acid-templated transcription;regulation of cellular biosynthetic process;nucleobase-containing compound biosynthetic process;RNA biosynthetic process;regulation of nitrogen compound metabolic process;organic cyclic compound metabolic process;gene expression;biological regulation;cellular biosynthetic process;DNA-templated transcription;nitrogen compound metabolic process;cellular metabolic process;regulation of cellular metabolic process;cellular aromatic compound metabolic process;regulation of RNA metabolic process;regulation of primary metabolic process;regulation of macromolecule metabolic process;regulation of biological process;obsolete cellular macromolecule metabolic process;regulation of gene expression;regulation of nucleobase-containing compound metabolic process;regulation of macromolecule biosynthetic process;cellular nitrogen compound biosynthetic process;biosynthetic process;organic cyclic compound biosynthetic process;regulation of cellular process;primary metabolic process;nucleic acid metabolic process;regulation of biosynthetic process;nucleobase-containing compound metabolic process;cellular nitrogen compound metabolic process;heterocycle biosynthetic process;organic substance metabolic process;obsolete regulation of cellular macromolecule biosynthetic process;regulation of DNA-templated transcription;macromolecule metabolic process;heterocycle metabolic process;macromolecule biosynthetic process"
QW917_000019	"protein-containing complex;plasma membrane;membrane protein complex;cell periphery;membrane;cytoplasm;SNARE complex;endomembrane system;intracellular membrane-bounded organelle;vacuole;endoplasmic reticulum;intracellular organelle;membrane-bounded organelle;intracellular anatomical structure;organelle;cellular anatomical entity;Golgi vesicle transport;cellular process;transport;vesicle-mediated transport;localization;establishment of localization;retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
QW917_000020	"mitochondrion;membrane;cytosol;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;membrane-bounded organelle;intracellular anatomical structure;organelle;cellular anatomical entity;phosphotransferase activity, alcohol group as acceptor;carbohydrate kinase activity;kinase activity;transferase activity;catalytic activity;transferase activity, transferring phosphorus-containing groups;ribose phosphate metabolic process;cellular process;obsolete nucleotide phosphorylation;glucose homeostasis;intracellular glucose homeostasis;homeostatic process;intracellular chemical homeostasis;generation of precursor metabolites and energy;glucose 6-phosphate metabolic process;carbohydrate homeostasis;catabolic process;nucleoside phosphate metabolic process;phosphorus metabolic process;organophosphate metabolic process;metabolic process;ATP metabolic process;nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;organic acid metabolic process;purine nucleoside diphosphate metabolic process;organic cyclic compound metabolic process;purine ribonucleoside diphosphate metabolic process;obsolete nucleoside diphosphate phosphorylation;purine-containing compound metabolic process;biological regulation;chemical homeostasis;carbohydrate catabolic process;nucleoside diphosphate metabolic process;small molecule metabolic process;nitrogen compound metabolic process;organonitrogen compound metabolic process;cellular metabolic process;monocarboxylic acid metabolic process;cellular aromatic compound metabolic process;phosphate-containing compound metabolic process;obsolete ATP generation from ADP;organic substance catabolic process;ribonucleotide metabolic process;primary metabolic process;oxoacid metabolic process;nucleotide metabolic process;ADP metabolic process;nucleobase-containing compound metabolic process;regulation of biological quality;phosphorylation;purine ribonucleotide metabolic process;carboxylic acid metabolic process;organic substance metabolic process;carbohydrate metabolic process;cellular nitrogen compound metabolic process;cellular homeostasis;purine nucleotide metabolic process;ribonucleoside diphosphate metabolic process;heterocycle metabolic process;glycolytic process"
QW917_000021	"RNA polymerase II transcription regulator complex;protein-containing complex;membrane;intracellular membrane-bounded organelle;catalytic complex;intracellular anatomical structure;transcription factor TFIID complex;transcription regulator complex;DNA-directed RNA polymerase complex;intracellular organelle lumen;intracellular organelle;nuclear protein-containing complex;membrane-bounded organelle;organelle lumen;organelle;intracellular protein-containing complex;transferase complex, transferring phosphorus-containing groups;nuclear lumen;RNA polymerase complex;RNA polymerase II, holoenzyme;membrane-enclosed lumen;nucleoplasm;nuclear DNA-directed RNA polymerase complex;transferase complex;nucleus;cellular anatomical entity;obsolete cellular macromolecule biosynthetic process;cellular process;transcription by RNA polymerase II;aromatic compound biosynthetic process;transcription initiation at RNA polymerase II promoter;RNA metabolic process;organic substance biosynthetic process;metabolic process;obsolete nucleic acid-templated transcription;nucleobase-containing compound biosynthetic process;RNA biosynthetic process;organic cyclic compound metabolic process;gene expression;cellular biosynthetic process;DNA-templated transcription;nitrogen compound metabolic process;cellular metabolic process;cellular aromatic compound metabolic process;obsolete cellular macromolecule metabolic process;organic cyclic compound biosynthetic process;cellular nitrogen compound biosynthetic process;biosynthetic process;nucleic acid metabolic process;primary metabolic process;DNA-templated transcription initiation;nucleobase-containing compound metabolic process;cellular nitrogen compound metabolic process;heterocycle biosynthetic process;organic substance metabolic process;macromolecule metabolic process;heterocycle metabolic process;macromolecule biosynthetic process"
QW917_000022	intracellular anatomical structure;membrane;intracellular membrane-bounded organelle;intracellular organelle;membrane-bounded organelle;nucleus;organelle;cellular anatomical entity
QW917_000037	intracellular anatomical structure;membrane;intracellular membrane-bounded organelle;intracellular organelle;membrane-bounded organelle;nucleus;organelle;cellular anatomical entity
QW917_000039	obsolete intrinsic component of plasma membrane;obsolete intrinsic component of membrane;plasma membrane;plasma membrane;cell periphery;membrane;membrane;cellular anatomical entity;molecular transducer activity;transmembrane signaling receptor activity;signaling receptor activity;G protein-coupled receptor activity;cellular process;regulation of intracellular signal transduction;G protein-coupled receptor signaling pathway;response to stimulus;signal transduction;second-messenger-mediated signaling;regulation of catalytic activity;regulation of adenylate cyclase activity;regulation of signaling;regulation of signal transduction;activation of adenylate cyclase activity;cell communication;regulation of cyclase activity;regulation of response to stimulus;adenylate cyclase-activating G protein-coupled receptor signaling pathway;biological regulation;cAMP-mediated signaling;regulation of molecular function;cyclic-nucleotide-mediated signaling;regulation of biological process;regulation of cellular process;cellular response to stimulus;regulation of cAMP-mediated signaling;signaling;adenylate cyclase-modulating G protein-coupled receptor signaling pathway;regulation of cell communication;regulation of lyase activity;intracellular signal transduction
QW917_000040	obsolete intrinsic component of plasma membrane;neuron projection;plasma membrane region;plasma membrane;plasma membrane;obsolete intrinsic component of membrane;dendrite;cell periphery;membrane;somatodendritic compartment;dendritic tree;cell projection;membrane;plasma membrane bounded cell projection;cellular anatomical entity;neurotransmitter binding;signaling receptor activity;transmembrane signaling receptor activity;heterocyclic compound binding;organic cyclic compound binding;ion binding;molecular transducer activity;G protein-coupled amine receptor activity;neurotransmitter receptor activity;cation binding;binding;G protein-coupled receptor activity;cellular process;trans-synaptic signaling;cyclic-nucleotide-mediated signaling;chemical synaptic transmission;cell communication;synaptic signaling;regulation of biological process;cell-cell signaling;G protein-coupled receptor signaling pathway;regulation of cellular process;cellular response to stimulus;anterograde trans-synaptic signaling;response to stimulus;biological regulation;signal transduction;intracellular signal transduction;second-messenger-mediated signaling;signaling
QW917_000042	obsolete intrinsic component of plasma membrane;neuron projection;plasma membrane region;plasma membrane;plasma membrane;obsolete intrinsic component of membrane;dendrite;cell periphery;membrane;somatodendritic compartment;dendritic tree;cell projection;membrane;plasma membrane bounded cell projection;cellular anatomical entity;neurotransmitter binding;signaling receptor activity;transmembrane signaling receptor activity;heterocyclic compound binding;organic cyclic compound binding;ion binding;molecular transducer activity;G protein-coupled amine receptor activity;neurotransmitter receptor activity;cation binding;binding;G protein-coupled receptor activity;cellular process;trans-synaptic signaling;cyclic-nucleotide-mediated signaling;chemical synaptic transmission;cell communication;synaptic signaling;regulation of biological process;cell-cell signaling;G protein-coupled receptor signaling pathway;regulation of cellular process;cellular response to stimulus;anterograde trans-synaptic signaling;response to stimulus;biological regulation;signal transduction;intracellular signal transduction;second-messenger-mediated signaling;signaling
QW917_000044	obsolete intrinsic component of plasma membrane;neuron projection;plasma membrane region;plasma membrane;plasma membrane;obsolete intrinsic component of membrane;dendrite;cell periphery;membrane;somatodendritic compartment;dendritic tree;cell projection;membrane;plasma membrane bounded cell projection;cellular anatomical entity;neurotransmitter binding;signaling receptor activity;transmembrane signaling receptor activity;heterocyclic compound binding;organic cyclic compound binding;ion binding;molecular transducer activity;G protein-coupled amine receptor activity;neurotransmitter receptor activity;cation binding;binding;G protein-coupled receptor activity;cellular process;trans-synaptic signaling;cyclic-nucleotide-mediated signaling;chemical synaptic transmission;cell communication;synaptic signaling;regulation of biological process;cell-cell signaling;G protein-coupled receptor signaling pathway;regulation of cellular process;cellular response to stimulus;anterograde trans-synaptic signaling;response to stimulus;biological regulation;signal transduction;intracellular signal transduction;second-messenger-mediated signaling;signaling
QW917_000045	obsolete intrinsic component of plasma membrane;neuron projection;plasma membrane region;plasma membrane;plasma membrane;obsolete intrinsic component of membrane;dendrite;cell periphery;membrane;somatodendritic compartment;dendritic tree;cell projection;membrane;plasma membrane bounded cell projection;cellular anatomical entity;neurotransmitter binding;signaling receptor activity;transmembrane signaling receptor activity;heterocyclic compound binding;organic cyclic compound binding;ion binding;molecular transducer activity;G protein-coupled amine receptor activity;neurotransmitter receptor activity;cation binding;binding;G protein-coupled receptor activity;cellular process;trans-synaptic signaling;cyclic-nucleotide-mediated signaling;chemical synaptic transmission;cell communication;synaptic signaling;regulation of biological process;cell-cell signaling;G protein-coupled receptor signaling pathway;regulation of cellular process;cellular response to stimulus;anterograde trans-synaptic signaling;response to stimulus;biological regulation;signal transduction;intracellular signal transduction;second-messenger-mediated signaling;signaling
QW917_000047	protein-containing complex;actin cytoskeleton;non-membrane-bounded organelle;cytoplasm;cytoskeleton;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular anatomical structure;organelle;cellular anatomical entity;myosin binding;binding;protein binding;cytoskeletal protein binding
QW917_000048	protein-containing complex;actin cytoskeleton;non-membrane-bounded organelle;cytoplasm;cytoskeleton;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular anatomical structure;organelle;cellular anatomical entity;myosin binding;binding;protein binding;cytoskeletal protein binding
QW917_000049	intracellular anatomical structure;core mediator complex;RNA polymerase II transcription regulator complex;protein-containing complex;transcription regulator complex;mediator complex;membrane;intracellular membrane-bounded organelle;intracellular organelle;nuclear protein-containing complex;membrane-bounded organelle;nucleus;organelle;cellular anatomical entity
QW917_000050	membrane;cellular anatomical entity;transmembrane transporter activity;transporter activity;cellular process;transport;localization;establishment of localization;transmembrane transport
QW917_000052	"mitochondrion;membrane;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;membrane-bounded organelle;intracellular anatomical structure;organelle;cellular anatomical entity;hydrolase activity;heat shock protein binding;protein binding;purine nucleotide binding;small molecule binding;carbohydrate derivative binding;ATP binding;ribonucleoside triphosphate phosphatase activity;organic cyclic compound binding;purine ribonucleotide binding;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;binding;pyrophosphatase activity;ATP-dependent activity;ribonucleotide binding;unfolded protein binding;purine ribonucleoside triphosphate binding;hydrolase activity, acting on acid anhydrides;ion binding;ATP hydrolysis activity;anion binding;nucleoside phosphate binding;nucleotide binding;heterocyclic compound binding;misfolded protein binding;catalytic activity;cellular response to organic substance;chaperone-mediated protein folding;cellular process;protein folding;response to chemical;cellular response to stress;response to stress;cellular response to chemical stimulus;response to organic substance;cellular response to unfolded protein;response to unfolded protein;chaperone cofactor-dependent protein refolding;response to topologically incorrect protein;cellular response to stimulus;response to stimulus;'de novo' protein folding;cellular response to topologically incorrect protein"
QW917_000053	plasma membrane;cell periphery;membrane;cytoplasm;endomembrane system;intracellular membrane-bounded organelle;vacuole;endoplasmic reticulum;intracellular organelle;membrane-bounded organelle;intracellular anatomical structure;organelle;cellular anatomical entity;cellular process;obsolete negative regulation of cell death;cell death;regulation of biological process;negative regulation of cellular process;negative regulation of biological process;regulation of cellular process;biological regulation;obsolete regulation of cell death
QW917_000055	"sequence-specific double-stranded DNA binding;transcription cis-regulatory region binding;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;cis-regulatory region sequence-specific DNA binding;heterocyclic compound binding;organic cyclic compound binding;double-stranded DNA binding;sequence-specific DNA binding;transcription regulator activity;nucleic acid binding;DNA-binding transcription factor activity;RNA polymerase II transcription regulatory region sequence-specific DNA binding;DNA binding;binding;transcription regulatory region nucleic acid binding;obsolete cellular macromolecule biosynthetic process;regulation of RNA biosynthetic process;cellular process;obsolete regulation of nucleic acid-templated transcription;aromatic compound biosynthetic process;RNA metabolic process;organic substance biosynthetic process;regulation of metabolic process;anatomical structure morphogenesis;metabolic process;obsolete nucleic acid-templated transcription;regulation of cellular biosynthetic process;nucleobase-containing compound biosynthetic process;RNA biosynthetic process;regulation of nitrogen compound metabolic process;organic cyclic compound metabolic process;gene expression;biological regulation;anatomical structure development;cellular biosynthetic process;DNA-templated transcription;developmental process;nitrogen compound metabolic process;cellular metabolic process;regulation of cellular metabolic process;cellular aromatic compound metabolic process;regulation of RNA metabolic process;regulation of primary metabolic process;regulation of macromolecule metabolic process;regulation of biological process;obsolete cellular macromolecule metabolic process;regulation of gene expression;regulation of nucleobase-containing compound metabolic process;regulation of macromolecule biosynthetic process;cellular nitrogen compound biosynthetic process;biosynthetic process;cellular developmental process;organic cyclic compound biosynthetic process;regulation of cellular process;primary metabolic process;nucleic acid metabolic process;regulation of biosynthetic process;nucleobase-containing compound metabolic process;cellular nitrogen compound metabolic process;heterocycle biosynthetic process;organic substance metabolic process;obsolete regulation of cellular macromolecule biosynthetic process;cell differentiation;regulation of DNA-templated transcription;macromolecule metabolic process;heterocycle metabolic process;macromolecule biosynthetic process"
QW917_000057	intracellular anatomical structure;protein-containing complex;spliceosomal complex;membrane;intracellular membrane-bounded organelle;intracellular organelle;nuclear protein-containing complex;membrane-bounded organelle;ribonucleoprotein complex;nucleus;organelle;cellular anatomical entity;RNA binding;heterocyclic compound binding;organic cyclic compound binding;nucleic acid binding;binding
QW917_000057	intracellular anatomical structure;protein-containing complex;spliceosomal complex;membrane;intracellular membrane-bounded organelle;intracellular organelle;nuclear protein-containing complex;membrane-bounded organelle;ribonucleoprotein complex;nucleus;organelle;cellular anatomical entity;RNA binding;heterocyclic compound binding;organic cyclic compound binding;nucleic acid binding;binding
QW917_000057	intracellular anatomical structure;protein-containing complex;spliceosomal complex;membrane;intracellular membrane-bounded organelle;intracellular organelle;nuclear protein-containing complex;membrane-bounded organelle;ribonucleoprotein complex;nucleus;organelle;cellular anatomical entity;RNA binding;heterocyclic compound binding;organic cyclic compound binding;nucleic acid binding;binding
QW917_000060	extracellular matrix;cell periphery;external encapsulating structure;cellular anatomical entity
QW917_000061	extracellular matrix;cell periphery;external encapsulating structure;cellular anatomical entity
QW917_000062	intracellular anatomical structure;cell cortex;actin cytoskeleton;non-membrane-bounded organelle;cell periphery;cytoplasm;cytoskeleton;cortical cytoskeleton;intracellular non-membrane-bounded organelle;intracellular organelle;actin cortical patch;cortical actin cytoskeleton;organelle;cellular anatomical entity;binding;lipid binding;cellular localization;cellular process;vesicle budding from membrane;organelle organization;transport;cellular component organization or biogenesis;vesicle organization;vesicle-mediated transport;establishment of localization;localization;endocytosis;cellular component organization;membrane organization;plasma membrane organization;endomembrane system organization;membrane invagination
QW917_000066	intracellular anatomical structure;membrane;intracellular membrane-bounded organelle;intracellular organelle;membrane-bounded organelle;nucleus;organelle;cellular anatomical entity
QW917_000069	obsolete intrinsic component of plasma membrane;obsolete intrinsic component of membrane;plasma membrane;plasma membrane;cell periphery;membrane;membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;sodium ion transmembrane transporter activity;monoatomic cation channel activity;metal ion transmembrane transporter activity;channel activity;inorganic cation transmembrane transporter activity;gated channel activity;passive transmembrane transporter activity;sodium channel activity;transporter activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion transmembrane transporter activity;monoatomic ion channel activity;ligand-gated monoatomic ion channel activity;cellular process;transport;metal ion transport;localization;establishment of localization;inorganic cation transmembrane transport;inorganic ion transmembrane transport;monoatomic cation transmembrane transport;monoatomic ion transport;transmembrane transport;monoatomic ion transmembrane transport;sodium ion transmembrane transport;sodium ion transport;monoatomic cation transport
QW917_000070	obsolete intrinsic component of plasma membrane;obsolete intrinsic component of membrane;plasma membrane;plasma membrane;cell periphery;membrane;membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;sodium ion transmembrane transporter activity;monoatomic cation channel activity;metal ion transmembrane transporter activity;channel activity;inorganic cation transmembrane transporter activity;gated channel activity;passive transmembrane transporter activity;sodium channel activity;transporter activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion transmembrane transporter activity;monoatomic ion channel activity;ligand-gated monoatomic ion channel activity;cellular process;transport;metal ion transport;localization;establishment of localization;inorganic cation transmembrane transport;inorganic ion transmembrane transport;monoatomic cation transmembrane transport;monoatomic ion transport;transmembrane transport;monoatomic ion transmembrane transport;sodium ion transmembrane transport;sodium ion transport;monoatomic cation transport
QW917_000071	protein-containing complex;dynein complex;non-membrane-bounded organelle;cytoplasm;cytoskeleton;microtubule associated complex;intracellular non-membrane-bounded organelle;cytoplasmic dynein complex;intracellular organelle;microtubule cytoskeleton;catalytic complex;intracellular anatomical structure;organelle;cellular anatomical entity;binding;protein binding;microtubule-based process;microtubule-based movement;cellular process;obsolete movement of cell or subcellular component
QW917_000076	intramolecular transferase activity;isomerase activity;metal ion binding;ion binding;catalytic activity;cation binding;binding;transition metal ion binding;cellular process;organic substance metabolic process;carbohydrate metabolic process;metabolic process;cellular metabolic process;obsolete cellular carbohydrate metabolic process;primary metabolic process
QW917_000077	membrane;obsolete intrinsic component of membrane;membrane;cellular anatomical entity;transmembrane transporter activity;transporter activity;transport;localization;establishment of localization;monoatomic ion transport;monoatomic anion transport
QW917_000079	membrane;obsolete intrinsic component of membrane;membrane;cellular anatomical entity;transmembrane transporter activity;transporter activity;transport;localization;establishment of localization;monoatomic ion transport;monoatomic anion transport
QW917_000080	obsolete intrinsic component of plasma membrane;obsolete intrinsic component of membrane;plasma membrane;plasma membrane;cell periphery;membrane;membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;sodium ion transmembrane transporter activity;monoatomic cation channel activity;metal ion transmembrane transporter activity;channel activity;inorganic cation transmembrane transporter activity;gated channel activity;passive transmembrane transporter activity;sodium channel activity;transporter activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion transmembrane transporter activity;monoatomic ion channel activity;ligand-gated monoatomic ion channel activity;cellular process;transport;metal ion transport;localization;establishment of localization;inorganic cation transmembrane transport;inorganic ion transmembrane transport;monoatomic cation transmembrane transport;monoatomic ion transport;transmembrane transport;monoatomic ion transmembrane transport;sodium ion transmembrane transport;sodium ion transport;monoatomic cation transport
